Price,Adj Close,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META,META
Datetime,,,,,,
2025-12-08 14:30:00+00:00,668.7734985351562,668.7734985351562,676.7100219726562,665.635009765625,669.6849975585938,2929014
2025-12-08 15:30:00+00:00,669.8380126953125,669.8380126953125,670.77001953125,667.52001953125,668.7000122070312,1062264
2025-12-08 16:30:00+00:00,669.4299926757812,669.4299926757812,670.9000244140625,668.0700073242188,669.8800048828125,690379
2025-12-08 17:30:00+00:00,667.8599853515625,667.8599853515625,670.2098999023438,667.6500244140625,669.4299926757812,569351
2025-12-08 18:30:00+00:00,666.4849853515625,666.4849853515625,668.3599243164062,666.02001953125,667.75,542845
2025-12-08 19:30:00+00:00,668.2100219726562,668.2100219726562,668.3400268554688,666.239990234375,666.489990234375,483116
2025-12-08 20:30:00+00:00,667.030029296875,667.030029296875,668.3499755859375,666.3699951171875,668.2449951171875,827687
2025-12-09 14:30:00+00:00,656.719970703125,656.719970703125,666.7999877929688,653.3400268554688,666.7999877929688,2277901
2025-12-09 15:30:00+00:00,655.5,655.5,658.2957763671875,654.5999755859375,656.719970703125,1193432
2025-12-09 16:30:00+00:00,655.3300170898438,655.3300170898438,657.423583984375,654.27001953125,655.5,766280
2025-12-09 17:30:00+00:00,657.4849853515625,657.4849853515625,657.6500244140625,653.7849731445312,655.3300170898438,779705
2025-12-09 18:30:00+00:00,657.97998046875,657.97998046875,660.0900268554688,657.2999877929688,657.4849853515625,764940
2025-12-09 19:30:00+00:00,656.3499755859375,656.3499755859375,658.5,656.2899780273438,657.97998046875,595350
2025-12-09 20:30:00+00:00,656.8200073242188,656.8200073242188,666.7999877929688,655.5999755859375,656.3499755859375,774237
2025-12-10 14:30:00+00:00,651.3175048828125,651.3175048828125,654.510009765625,647.3099975585938,650.4000244140625,1971573
2025-12-10 15:30:00+00:00,652.8491821289062,652.8491821289062,652.9500122070312,648.0800170898438,651.0399780273438,1226649
2025-12-10 16:30:00+00:00,650.25,650.25,653.3115234375,649.8800048828125,652.8300170898438,638304
2025-12-10 17:30:00+00:00,644.8438110351562,644.8438110351562,651.0,644.030029296875,650.2000122070312,1159629
2025-12-10 18:30:00+00:00,645.489990234375,645.489990234375,649.1699829101562,644.0999755859375,644.719970703125,1289902
2025-12-10 19:30:00+00:00,647.9199829101562,647.9199829101562,650.1300048828125,643.3975830078125,645.489990234375,1545291
2025-12-10 20:30:00+00:00,649.9299926757812,649.9299926757812,650.8800048828125,647.905029296875,648.0399780273438,1033356
2025-12-11 14:30:00+00:00,652.6099853515625,652.6099853515625,655.280029296875,640.7949829101562,642.72998046875,2302563
2025-12-11 15:30:00+00:00,646.6099853515625,646.6099853515625,653.1849975585938,646.0300903320312,652.5399780273438,990587
2025-12-11 16:30:00+00:00,648.8400268554688,648.8400268554688,649.719970703125,645.2999877929688,646.7100219726562,586515
2025-12-11 17:30:00+00:00,649.3900146484375,649.3900146484375,650.4500122070312,647.9550170898438,648.8350219726562,651876
2025-12-11 18:30:00+00:00,651.9199829101562,651.9199829101562,653.4149780273438,649.22998046875,649.3400268554688,660057
2025-12-11 19:30:00+00:00,650.5499877929688,650.5499877929688,653.280029296875,650.2000122070312,652.0,639281
2025-12-11 20:30:00+00:00,652.780029296875,652.780029296875,652.8699951171875,650.1500244140625,650.52001953125,649752
2025-12-12 14:30:00+00:00,644.010009765625,644.010009765625,652.010009765625,643.8499755859375,650.2100219726562,1868580
2025-12-12 15:30:00+00:00,641.469970703125,641.469970703125,647.2000122070312,639.010009765625,643.9299926757812,1448891
2025-12-12 16:30:00+00:00,643.219970703125,643.219970703125,643.8223266601562,638.6099853515625,641.3699951171875,1057779
2025-12-12 17:30:00+00:00,647.5001220703125,647.5001220703125,648.5,642.2650146484375,643.3699951171875,872664
2025-12-12 18:30:00+00:00,645.3099975585938,645.3099975585938,648.5,645.094970703125,647.6799926757812,604159
2025-12-12 19:30:00+00:00,645.3499755859375,645.3499755859375,646.2000122070312,644.4801025390625,645.3200073242188,670874
2025-12-12 20:30:00+00:00,644.239990234375,644.239990234375,645.8200073242188,642.5999755859375,645.4600219726562,982613
