Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
Datetime,,,,,,
2025-12-08 14:30:00+00:00,229.0399932861328,229.0399932861328,230.82400512695312,228.51199340820312,229.52000427246094,5237392
2025-12-08 15:30:00+00:00,228.07000732421875,228.07000732421875,229.31350708007812,227.5500030517578,229.02999877929688,2886442
2025-12-08 16:30:00+00:00,227.2799072265625,227.2799072265625,228.38999938964844,227.24000549316406,228.03900146484375,2070338
2025-12-08 17:30:00+00:00,227.0500030517578,227.0500030517578,227.77000427246094,227.02000427246094,227.27000427246094,2032964
2025-12-08 18:30:00+00:00,227.08999633789062,227.08999633789062,227.37399291992188,226.6999969482422,227.02000427246094,2086023
2025-12-08 19:30:00+00:00,226.9741973876953,226.9741973876953,227.1887969970703,226.71499633789062,227.08999633789062,1794666
2025-12-08 20:30:00+00:00,226.99000549316406,226.99000549316406,227.1300048828125,226.27000427246094,226.97999572753906,3015249
2025-12-09 14:30:00+00:00,227.66000366210938,227.66000366210938,227.75,225.11000061035156,226.88999938964844,3766539
2025-12-09 15:30:00+00:00,227.83999633789062,227.83999633789062,228.57000732421875,227.5,227.66000366210938,2190514
2025-12-09 16:30:00+00:00,227.99000549316406,227.99000549316406,228.36000061035156,227.6999969482422,227.83999633789062,1465538
2025-12-09 17:30:00+00:00,228.30999755859375,228.30999755859375,228.41000366210938,227.4199981689453,227.99000549316406,1240343
2025-12-09 18:30:00+00:00,227.97999572753906,227.97999572753906,228.41000366210938,227.91000366210938,228.30999755859375,1005503
2025-12-09 19:30:00+00:00,227.9149932861328,227.9149932861328,228.28370666503906,227.66409301757812,227.97999572753906,1275552
2025-12-09 20:30:00+00:00,227.89999389648438,227.89999389648438,228.0800018310547,226.88999938964844,227.91000366210938,1498414
2025-12-10 14:30:00+00:00,231.73500061035156,231.73500061035156,232.4199981689453,228.47000122070312,228.58999633789062,7146039
2025-12-10 15:30:00+00:00,231.66000366210938,231.66000366210938,232.02000427246094,230.0,231.73500061035156,2842036
2025-12-10 16:30:00+00:00,230.72000122070312,230.72000122070312,232.11000061035156,230.64920043945312,231.63999938964844,1702459
2025-12-10 17:30:00+00:00,230.3350067138672,230.3350067138672,231.60000610351562,230.19000244140625,230.6999969482422,1515784
2025-12-10 18:30:00+00:00,230.26499938964844,230.26499938964844,231.41000366210938,229.83999633789062,230.32000732421875,2879222
2025-12-10 19:30:00+00:00,231.9199981689453,231.9199981689453,232.22999572753906,229.8000030517578,230.27999877929688,3311589
2025-12-10 20:30:00+00:00,231.69000244140625,231.69000244140625,232.38699340820312,231.55499267578125,231.9149932861328,10520445
2025-12-11 14:30:00+00:00,230.8800048828125,230.8800048828125,232.11000061035156,229.4199981689453,230.7100067138672,4677750
2025-12-11 15:30:00+00:00,228.85000610351562,228.85000610351562,231.0399932861328,228.69009399414062,230.86000061035156,2150176
2025-12-11 16:30:00+00:00,230.08250427246094,230.08250427246094,230.27999877929688,228.77999877929688,228.88999938964844,1738077
2025-12-11 17:30:00+00:00,229.47999572753906,229.47999572753906,230.3990020751953,229.24000549316406,230.08999633789062,1695827
2025-12-11 18:30:00+00:00,229.8441925048828,229.8441925048828,230.07940673828125,229.33999633789062,229.47999572753906,1454306
2025-12-11 19:30:00+00:00,229.6925048828125,229.6925048828125,230.10000610351562,229.50999450683594,229.85000610351562,1703233
2025-12-11 20:30:00+00:00,230.27000427246094,230.27000427246094,230.3000030517578,229.30999755859375,229.7100067138672,2253506
2025-12-12 14:30:00+00:00,226.3800048828125,226.3800048828125,230.0800018310547,226.35000610351562,230.02000427246094,6052796
2025-12-12 15:30:00+00:00,226.02000427246094,226.02000427246094,227.61000061035156,225.3000030517578,226.36000061035156,3720416
2025-12-12 16:30:00+00:00,226.3300018310547,226.3300018310547,226.6999969482422,225.1199951171875,226.0,2582048
2025-12-12 17:30:00+00:00,226.99000549316406,226.99000549316406,227.13980102539062,226.14999389648438,226.32000732421875,1740300
2025-12-12 18:30:00+00:00,226.85000610351562,226.85000610351562,227.375,226.66000366210938,226.99000549316406,1616710
2025-12-12 19:30:00+00:00,226.71200561523438,226.71200561523438,227.16000366210938,226.60000610351562,226.8699951171875,1797710
2025-12-12 20:30:00+00:00,226.19000244140625,226.19000244140625,226.7550048828125,225.77830505371094,226.72000122070312,2808944
