Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG
Datetime,,,,,,
2025-12-08 14:30:00+00:00,317.95001220703125,317.95001220703125,321.2300109863281,317.6600036621094,320.8800048828125,3758988
2025-12-08 15:30:00+00:00,315.869384765625,315.869384765625,317.8999938964844,315.6199951171875,317.8999938964844,2078465
2025-12-08 16:30:00+00:00,313.0199890136719,313.0199890136719,316.1600036621094,311.9100036621094,315.8200988769531,2665657
2025-12-08 17:30:00+00:00,312.8323974609375,312.8323974609375,313.989990234375,312.19000244140625,313.0436096191406,1384447
2025-12-08 18:30:00+00:00,313.6099853515625,313.6099853515625,314.2698974609375,312.7049865722656,312.8599853515625,1098322
2025-12-08 19:30:00+00:00,313.2699890136719,313.2699890136719,314.06500244140625,312.8399963378906,313.5950012207031,1012658
2025-12-08 20:30:00+00:00,314.2900085449219,314.2900085449219,314.57000732421875,312.6400146484375,313.2650146484375,6086234
2025-12-09 14:30:00+00:00,314.1424865722656,314.1424865722656,314.5715026855469,312.6199951171875,314.45001220703125,2063287
2025-12-09 15:30:00+00:00,314.6199951171875,314.6199951171875,315.2699890136719,313.5400085449219,314.1424865722656,1009941
2025-12-09 16:30:00+00:00,317.63079833984375,317.63079833984375,317.67999267578125,314.4599914550781,314.6400146484375,1191496
2025-12-09 17:30:00+00:00,318.6700134277344,318.6700134277344,318.7088928222656,317.3299865722656,317.63079833984375,1262633
2025-12-09 18:30:00+00:00,318.2799987792969,318.2799987792969,318.70001220703125,317.7101135253906,318.6700134277344,629339
2025-12-09 19:30:00+00:00,317.9200134277344,317.9200134277344,318.4750061035156,317.58648681640625,318.2799987792969,764080
2025-12-09 20:30:00+00:00,317.7900085449219,317.7900085449219,318.0199890136719,314.45001220703125,317.9200134277344,1170453
2025-12-10 14:30:00+00:00,318.739990234375,318.739990234375,319.5199890136719,315.3999938964844,316.6199951171875,2497344
2025-12-10 15:30:00+00:00,318.6000061035156,318.6000061035156,318.8595886230469,317.3599853515625,318.70001220703125,887438
2025-12-10 16:30:00+00:00,317.0751037597656,317.0751037597656,318.82501220703125,317.07000732421875,318.57000732421875,900377
2025-12-10 17:30:00+00:00,316.70001220703125,316.70001220703125,318.0295104980469,316.6888122558594,317.0400085449219,711869
2025-12-10 18:30:00+00:00,318.6099853515625,318.6099853515625,319.6000061035156,316.45001220703125,316.6499938964844,1057225
2025-12-10 19:30:00+00:00,320.510009765625,320.510009765625,320.8500061035156,318.17999267578125,318.67999267578125,1555562
2025-12-10 20:30:00+00:00,320.8500061035156,320.8500061035156,321.8699951171875,320.489990234375,320.55999755859375,1865336
2025-12-11 14:30:00+00:00,317.05999755859375,317.05999755859375,321.989990234375,314.5199890136719,320.94000244140625,3634473
2025-12-11 15:30:00+00:00,315.54998779296875,315.54998779296875,317.8900146484375,315.239990234375,317.07501220703125,1521142
2025-12-11 16:30:00+00:00,316.05999755859375,316.05999755859375,316.5400085449219,314.6600036621094,315.5249938964844,1109293
2025-12-11 17:30:00+00:00,313.3900146484375,313.3900146484375,316.543212890625,309.8800048828125,316.0574951171875,2408094
2025-12-11 18:30:00+00:00,313.6050109863281,313.6050109863281,314.55999755859375,311.2349853515625,313.4100036621094,2208647
2025-12-11 19:30:00+00:00,313.3500061035156,313.3500061035156,314.29998779296875,312.8399963378906,313.6300048828125,1218542
2025-12-11 20:30:00+00:00,313.7099914550781,313.7099914550781,314.1099853515625,312.85009765625,313.3399963378906,1611593
2025-12-12 14:30:00+00:00,309.5899963378906,309.5899963378906,316.1300048828125,309.4330139160156,314.80999755859375,3133641
2025-12-12 15:30:00+00:00,308.0,308.0,310.94000244140625,307.0880126953125,309.6099853515625,2344376
2025-12-12 16:30:00+00:00,309.57000732421875,309.57000732421875,310.7799987792969,306.9599914550781,308.0,1633867
2025-12-12 17:30:00+00:00,311.6499938964844,311.6499938964844,311.69000244140625,309.0199890136719,309.57000732421875,1082515
2025-12-12 18:30:00+00:00,310.9627990722656,310.9627990722656,311.8900146484375,310.3900146484375,311.6499938964844,809271
2025-12-12 19:30:00+00:00,310.79998779296875,310.79998779296875,311.4200134277344,310.57000732421875,310.9700012207031,722659
2025-12-12 20:30:00+00:00,310.510009765625,310.510009765625,310.92999267578125,309.5,310.82000732421875,1398728
